Ethnic Studies	Why the difference?
Criminology & Penology	Far-right violence as backlash against gender equality: A county-level analysis of structural and ideological gender inequality and homicides committed by far-right extremists
Public, Environmental & Occupational Health	Implementation of effective alcohol control strategies is needed at large sports and entertainment events
International Relations	"Pierre Trudeau and the ""suffocation"" of the nuclear arms race"
Law	Participatory Constitutional Change: The People as Amenders of the Constitution
Transportation	A European Model for Public Transport Authorities in Small and Medium Urban Areas
Gerontology	Gait speed as a measure in geriatric assessment
Hospitality, Leisure, Sport & Tourism	Investigating the Impact of SERVQUAL Dimensions on Customer Satisfaction: The Lessons Learnt from Serbian Travel Agencies
Development Studies	Poverty and socio-political transition: Perceptions in four racially demarcated residential sites in Gauteng
Sociology	Identity Theory
Urban Studies	"The ""urban era"" in debate"
Gerontology	A vicious cycle in spinocerebellar ataxia: behavioral aggression due to ropinirole
Industrial Relations & Labor	MENTAL HEALTH AND WORKING CONDITIONS IN EUROPE
Psychology, Multidisciplinary	"No laughing matter? Young adults and the ""spillover effect"" of candidate-centered political humor"
Substance Abuse	The place of drink: Geographical contributions to alcohol studies
Cultural Studies	Contesting the mechanisms of disinformation, Part I. Contemporary developments in Latin America: a South African perspective
Cultural Studies	Biosphere, Noosphere, Infosphere: Epistemo-Aesthetics and The Age Of Big Data
Education, Special	The Student Risk Screening Scale for Early Childhood: An Initial Validation Study
Area Studies	China's Banking Transformation: The Untold Story
Health Policy & Services	Use of hypnosis for the placement of a midline catheter in a patient at the end of life
Ethnic Studies	The jealous god: A problem in the definition of nationalism
Information Science & Library Science	Untitled
Economics	Assessing the impact of the 2004 Olympic Games on the Greek economy: A small macroeconometric model
Social Sciences, Interdisciplinary	The experience of facilitators and participants of long term condition self-management group programmes: A qualitative synthesis
Health Policy & Services	International application of sugar-sweetened beverage (SSB) taxation in obesity reduction: Factors that may influence policy effectiveness in country-specific contexts
Substance Abuse	Daily Associations Between Alcohol Consumption and Dating Violence Perpetration Among Men and Women: Effects of Self-Regulation
History & Philosophy Of Science	No actual measurement ... was required: Maxwell and Cavendish's null method for the inverse square law of electrostatics
Social Issues	US Energy Policy The Need for Radical Departures
Transportation	Identifying appropriate land-use mix measures for use in a national walkability index
Urban Studies	Transnational migration and the gendered right to the city in Buenos Aires
Women'S Studies	SPERM ON ICE: Fatherhood and Life after Death
Education, Special	A Parent-Implemented, Technology-Mediated Approach to Increasing Self-Management Homework Skills in Middle School Students with Autism
Environmental Studies	Comparing polycentric configuration for adaptive governance within community forests: case studies in Eastern North America
Hospitality, Leisure, Sport & Tourism	Travel information online: navigating correspondents, consensus, and conversation
Law	Human rights in Iraq's transition - the search for inclusiveness
Women'S Studies	Solidarity Is Possible: Rethinking Gay and Lesbian Activism in 1970s Australia
Hospitality, Leisure, Sport & Tourism	INVERSIONARY AND LIMINOIDAL CONSUMPTION: GLUTTONY ON HOLIDAYS AND OBESITY
History	A Multitude of Actors in Early Modern Diplomacy
Business, Finance	Prep Rally
Hospitality, Leisure, Sport & Tourism	Understanding Medical Tourists in Korea: Cross-Cultural Perceptions of Medical Tourism among Patients from the USA, Russia, Japan, and China
History & Philosophy Of Science	The scales of experience: Introduction to the special issue Experiencing the global environment Introduction
Law	Current Legal Developments London Convention and London Protocol
Rehabilitation	Effects of different exercise modalities on ataxia in multiple sclerosis patients: a randomized controlled study
Rehabilitation	Rasch Analysis as a Technique to Examine the Psychometric Properties of a Career Ability Placement Survey Subtest
Law	The Impact of EMU on Corporate Governance: Bargaining in Austerity
Gerontology	Active and Passive Methods of Detecting Parkinson's Disease
Cultural Studies	Democratic Economy Conference: An Introductory Note
Business, Finance	Spin-offs: Accounting and financial issues across the literature
Social Issues	Technoscience Rent: Toward a Theory of Rentiership for Technoscientific Capitalism
Gerontology	Long-Term Care Facilities and the COVID-19 Pandemic: Lessons Learned in Madrid
Development Studies	How Mothers in Poverty Explain Their Use of Corporal Punishment: A Qualitative Study in Kampala, Uganda
Social Sciences, Biomedical	Synthetic Biology in Pursuit of Inexpensive, Effective, Anti-Malarial Drugs
Regional & Urban Planning	Migration and Strategic Urban Planning: The Case of Leipzig
Regional & Urban Planning	Polycentric Settlement Structures as a Precondition for Urban and Rural Partnership in the Alpine-Adriatic Euroregion The CONSPACE Findings
Business, Finance	The Effect of Workload Compression on Audit Quality
Demography	"Family-supportive workplace policies and South Korean mothers"" perceived work-family conflict: accessibility matters"
Business	Data-Driven Analytical Tools for Characterization of Productivity and Service Quality Issues in IT Service Factories
Sociology	ECONOMIC MOTIVATIONS AND MORAL CONTROLS REGULATING DISCRIMINATION AGAINST BLACK AND HISPANIC DINERS
Management	Improving the resilience of disaster management organizations through virtual communities of practice: A Delphi study
Health Policy & Services	The Life Link Clinic: Meeting the socio-economic needs of patients and families within complex rehabilitation in-patient services
Gerontology	Diet and Exercise Interventions Reduce Intrahepatic Fat Content and Improve Insulin Sensitivity in Obese Older Adults
Area Studies	Research on houses and outhouses in the rural settlements of Turkey: The case of the Alasehir District
Social Sciences, Mathematical Methods	Randomized observation periods for the compound Poisson risk model: the discounted penalty function
Social Sciences, Biomedical	Self-interest and public opinion in health policy: smoking behavior and support for tobacco control
Hospitality, Leisure, Sport & Tourism	The Effects of a Negative Travel Experience on Tourists' Decisional Behavior
International Relations	When Right Makes Might How Prussia Overturned the European Balance of Power
Public Administration	Evidence for Policy and Decision-Making: A Practical Guide
Ethnic Studies	"James Boggs, the ""Outsiders,"" and the Challenge of Postindustrial Society"
Social Issues	Imaginary friends: migrants' emotional accounts about friends outside Australia
Social Issues	Challenges for African Higher Education: The language policy of the University of Johannesburg as a case study
Cultural Studies	"""Homing' Guangzhou: Emplacement, belonging and precarity among Africans in China"
